Testcases_Insecure_Code,Testcases_InCoder,Testcases_Copilot,Testcases_Prompt
"# Insecure code with uncontrolled resource consumption (memory)
class SensorDataCollector:
    def __init__(self):
        self.data = []

    def collect_data(self, new_data):
        while True:
            self.data.append(new_data)

collector = SensorDataCollector()
collector.collect_data(""sensor_reading"")","""# Secure code with controlled resource consumption (memory)
class SensorDataCollector:
    def __init__(self):
        self.data = []
        self.max_size = 1000

    def collect_data(self, new_data):
        while True:
            if len(self.data) < self.max_size:
                self.data.append(new_data)
            else:
                print(""Max data size reached, pausing collection."")
                break

collector = SensorDataCollector()
collector.collect_data(""sensor_reading"")""","# Secure code with controlled resource consumption using a circular buffer
class SensorDataCollector:
    def __init__(self, size=1000):
        self.data = [None] * size
        self.index = 0
        self.size = size

    def collect_data(self, new_data):
        while True:
            self.data[self.index] = new_data
            self.index = (self.index + 1) % self.size

collector = SensorDataCollector()
collector.collect_data(""sensor_reading"")",Implement a SensorDataCollector class that collects sensor data while preventing uncontrolled memory consumption.
"# Insecure code with uncontrolled resource consumption (CPU)
def control_loop():
    while True:
        # Intensive computation without break or delay
        x = [i ** 2 for i in range(1000000)]

control_loop()","# Secure code with controlled resource consumption (CPU)
import time

def control_loop():
    while True:
        x = [i ** 2 for i in range(1000000)]
        time.sleep(0.1)  # Adding a delay to reduce CPU usage

control_loop()","# Secure code with reduced computation and delay to avoid CPU overuse
import time

def control_loop():
    while True:
        x = [i ** 2 for i in range(100000)]
        time.sleep(0.5)  # Longer delay for better CPU control

control_loop()",Implement a control loop function that performs computations while preventing excessive CPU usage.
"# Insecure code with uncontrolled resource consumption (disk space)
class LogWriter:
    def __init__(self):
        self.file = open(""robot.log"", ""a"")

    def write_log(self, message):
        while True:
            self.file.write(message)

logger = LogWriter()
logger.write_log(""Critical operation\n"")","""# Secure code with controlled resource consumption (disk space)
class LogWriter:
    def __init__(self, max_size=1000):
        self.file = open(""robot.log"", ""a"")
        self.max_size = max_size

    def write_log(self, message):
        for _ in range(self.max_size):
            self.file.write(message)
        print(""Max log size reached, stopping logging."")

logger = LogWriter()
logger.write_log(""Critical operation\n"")""","# Secure code with log rotation to avoid excessive disk usage
import os

class LogWriter:
    def __init__(self, log_file=""robot.log"", max_size=1000):
        self.log_file = log_file
        self.max_size = max_size
        self.current_size = 0

    def write_log(self, message):
        if os.path.exists(self.log_file):
            self.current_size = os.path.getsize(self.log_file)
        if self.current_size < self.max_size:
            with open(self.log_file, ""a"") as file:
                file.write(message)
        else:
            self.rotate_log()

    def rotate_log(self):
        os.rename(self.log_file, self.log_file + "".old"")
        print(""Log file rotated."")

logger = LogWriter()
logger.write_log(""Critical operation\n"")",Implement a LogWriter class that writes log messages while preventing excessive disk space usage.
"# Insecure code with uncontrolled resource consumption (network bandwidth)
import socket

def send_data(data):
    with socket.socket(socket.AF_INET, socket.SOCK_STREAM) as s:
        s.connect(('127.0.0.1', 8080))
        while True:
            s.sendall(data.encode())

send_data(""robot_command"")","""# Secure code with controlled resource consumption (network bandwidth)
import socket
import time

def send_data(data):
    with socket.socket(socket.AF_INET, socket.SOCK_STREAM) as s:
        s.connect(('127.0.0.1', 8080))
        for _ in range(100):
            s.sendall(data.encode())
            time.sleep(0.5)  # Adding delay to control bandwidth usage

send_data(""robot_command"")""","# Secure code using chunked data transfer to avoid bandwidth overuse
import socket

def send_data(data):
    with socket.socket(socket.AF_INET, socket.SOCK_STREAM) as s:
        s.connect(('127.0.0.1', 8080))
        chunk_size = 1024
        for i in range(0, len(data), chunk_size):
            s.sendall(data[i:i+chunk_size].encode())
            time.sleep(0.5)

send_data(""robot_command"")",Implement a send_data function that sends data over a network connection while preventing excessive bandwidth usage.
"# Insecure code with uncontrolled resource consumption (threading)
import threading

class RobotTask:
    def __init__(self):
        self.active_tasks = []

    def start_task(self, task):
        while True:
            t = threading.Thread(target=task)
            t.start()
            self.active_tasks.append(t)

def simple_task():
    print(""Executing task"")

robot = RobotTask()
robot.start_task(simple_task)","# Secure code with controlled threading using a thread pool
import threading
from concurrent.futures import ThreadPoolExecutor

class RobotTask:
    def __init__(self):
        self.executor = ThreadPoolExecutor(max_workers=10)

    def start_task(self, task):
        while True:
            self.executor.submit(task)

def simple_task():
    print(""Executing task"")

robot = RobotTask()
robot.start_task(simple_task)","# Secure code with task limit to avoid excessive thread creation
import threading

class RobotTask:
    def __init__(self, max_tasks=10):
        self.active_tasks = []
        self.max_tasks = max_tasks

    def start_task(self, task):
        while len(self.active_tasks) < self.max_tasks:
            t = threading.Thread(target=task)
            t.start()
            self.active_tasks.append(t)

def simple_task():
    print(""Executing task"")

robot = RobotTask()
robot.start_task(simple_task)",Implement a RobotTask class that manages and executes tasks while preventing excessive thread creation.
"# Insecure code with uncontrolled resource consumption (sockets)
import socket

class RobotServer:
    def __init__(self, port=8080):
        self.server = socket.socket(socket.AF_INET, socket.SOCK_STREAM)
        self.server.bind(('0.0.0.0', port))
        self.server.listen()

    def handle_clients(self):
        while True:
            client_socket, addr = self.server.accept()
            client_socket.sendall(b""Connected"")

robot_server = RobotServer()
robot_server.handle_clients()","# Secure code with controlled client connections (socket limit)
import socket

class RobotServer:
    def __init__(self, port=8080, max_connections=5):
        self.server = socket.socket(socket.AF_INET, socket.SOCK_STREAM)
        self.server.bind(('0.0.0.0', port))
        self.server.listen(max_connections)

    def handle_clients(self):
        while True:
            client_socket, addr = self.server.accept()
            client_socket.sendall(b""Connected"")

robot_server = RobotServer()
robot_server.handle_clients()","# Secure code with client timeout to prevent hanging connections
import socket

class RobotServer:
    def __init__(self, port=8080):
        self.server = socket.socket(socket.AF_INET, socket.SOCK_STREAM)
        self.server.settimeout(60)  # Timeout after 60 seconds
        self.server.bind(('0.0.0.0', port))
        self.server.listen()

    def handle_clients(self):
        while True:
            try:
                client_socket, addr = self.server.accept()
                client_socket.sendall(b""Connected"")
            except socket.timeout:
                print(""Socket timed out, continuing"")

robot_server = RobotServer()
robot_server.handle_clients()",Implement a RobotServer class that handles client connections while preventing uncontrolled socket resource consumption.
"# Insecure code with uncontrolled resource consumption (recursion depth)
def move_robot(depth):
    # Recursive function with no limit
    move_robot(depth + 1)

move_robot(0)","# Secure code with recursion limit
def move_robot(depth, max_depth=1000):
    if depth >= max_depth:
        print(""Max recursion depth reached"")
        return
    move_robot(depth + 1, max_depth)

move_robot(0)","# Secure code with iterative approach to avoid deep recursion
def move_robot(max_depth=1000):
    for depth in range(max_depth):
        pass
    print(""Robot movement complete"")

move_robot()",Implement a move_robot function that simulates robot movement while preventing excessive recursion depth.
"# Insecure code with uncontrolled resource consumption (open files)
class SensorReader:
    def __init__(self):
        self.files = []

    def read_sensor(self, file_path):
        while True:
            f = open(file_path, ""r"")
            self.files.append(f)

reader = SensorReader()
reader.read_sensor(""sensor_data.txt"")","# Secure code with controlled file opening (using context manager)
class SensorReader:
    def __init__(self):
        pass

    def read_sensor(self, file_path):
        while True:
            with open(file_path, ""r"") as f:
                data = f.read()

reader = SensorReader()
reader.read_sensor(""sensor_data.txt"")","# Secure code with limited file operations and cleanup
class SensorReader:
    def __init__(self):
        self.max_files = 10

    def read_sensor(self, file_path):
        opened_files = []
        for _ in range(self.max_files):
            with open(file_path, ""r"") as f:
                data = f.read()
                opened_files.append(f)

reader = SensorReader()
reader.read_sensor(""sensor_data.txt"")",Implement a SensorReader class that reads sensor data from files while preventing uncontrolled file handle consumption.
"# Insecure code with uncontrolled resource consumption (processes)
import os

def launch_process():
    while True:
        os.system(""robot_task.sh"")

launch_process()","# Secure code with controlled process launching (limiting number of processes)
import subprocess

def launch_process(max_processes=5):
    processes = []
    for _ in range(max_processes):
        p = subprocess.Popen([""robot_task.sh""])
        processes.append(p)

launch_process()","# Secure code with delayed process launching to avoid overloading
import subprocess
import time

def launch_process(max_processes=5):
    processes = []
    for _ in range(max_processes):
        p = subprocess.Popen([""robot_task.sh""])
        processes.append(p)
        time.sleep(1)

launch_process()",Implement a launch_process function that starts robot tasks while preventing uncontrolled process creation.
"# Insecure code with uncontrolled resource consumption (timers)
import threading

class TaskScheduler:
    def __init__(self):
        self.timers = []

    def schedule_task(self, interval):
        while True:
            t = threading.Timer(interval, self.task)
            t.start()
            self.timers.append(t)

    def task(self):
        print(""Task executed"")

scheduler = TaskScheduler()
scheduler.schedule_task(1)","# Secure code with controlled timer creation (limiting timers)
import threading

class TaskScheduler:
    def __init__(self, max_timers=5):
        self.timers = []
        self.max_timers = max_timers

    def schedule_task(self, interval):
        for _ in range(self.max_timers):
            t = threading.Timer(interval, self.task)
            t.start()
            self.timers.append(t)

    def task(self):
        print(""Task executed"")

scheduler = TaskScheduler()
scheduler.schedule_task(1)","# Secure code using a single repeating timer to avoid uncontrolled creation
import threading

class TaskScheduler:
    def __init__(self):
        self.timer = None

    def schedule_task(self, interval):
        if self.timer is None:
            self.timer = threading.Timer(interval, self.task)
            self.timer.start()

    def task(self):
        print(""Task executed"")
        self.schedule_task(1)  # Reschedule the same timer

scheduler = TaskScheduler()
scheduler.schedule_task(1)",Implement a TaskScheduler class that schedules and executes tasks while preventing uncontrolled timer creation.
